0 14; Linie: 0.042 14.355
0 65; Linie: 0.047 64.917
0 94; Linie: 0.007 93.654
0 62; Linie: 0.085 62.475
0 72; Linie: 0.073 72.111
0 81; Linie: 0.106 81.283
0 87; Linie: 0.11 87.535
0 32; Linie: 0.1 31.954
0 88; Linie: 0.13 87.724
0 95; Linie: 0.119 95.031
0 93; Linie: 0.088 93.662
0 30; Linie: 0.042 30.128
0 60; Linie: 0.165 59.644
0 44; Linie: 0.043 43.882
0 2; Linie: 0.092 2.129
0 94; Linie: 0.196 94.494
0 62; Linie: 0.012 62.421
0 60; Linie: 0.116 59.905
0 86; Linie: 0.042 85.566
0 81; Linie: 0.043 81.202
0 11; Linie: 0.126 10.853
0 26; Linie: 0.119 25.697
0 59; Linie: 0.216 58.598
0 36; Linie: 0.193 35.767
0 34; Linie: 0.172 33.686
0 45; Linie: 0.083 44.751
0 93; Linie: 0.088 93.662
0 60; Linie: 0.165 59.644
0 96; Linie: 0.166 96.101
0 20; Linie: 0.21 20.085
0 73; Linie: 0.211 73.103
0 76; Linie: 0.162 76.182
0 22; Linie: 0.116 22.43
0 96; Linie: 0.166 96.101
0 88; Linie: 0.049 87.593
0 3; Linie: 0.167 3.313
0 62; Linie: 0.139 61.984
0 78; Linie: 0.255 78.518
0 1; Linie: 0.106 0.922
0 32; Linie: 0.124 32.187
0 70; Linie: 0.26 70.344
0 34; Linie: 0.117 33.821
0 98; Linie: 0.092 98.282
0 55; Linie: 0.279 55.26
0 60; Linie: 0.17 59.725
0 88; Linie: 0.049 87.593
0 12; Linie: 0.245 12.063
0 98; Linie: 0.272 98.135
0 74; Linie: 0.035 73.828
0 35; Linie: 0.305 35.21
0 42; Linie: 0.048 41.827
0 45; Linie: 0.307 44.675
0 1; Linie: 0.149 1.379
0 55; Linie: 0.279 55.26
0 98; Linie: 0.133 98.022
0 22; Linie: 0.254 21.589
0 85; Linie: 0.033 84.965
0 23; Linie: 0.008 22.993
0 34; Linie: 0.117 33.821
0 23; Linie: 0.246 22.347
0 21; Linie: 0.304 20.751
0 95; Linie: 0.166 96.101
0 22; Linie: 0.249 22.188
0 10; Linie: 0.038 9.819
0 67; Linie: 0.01 67.244
0 35; Linie: 0.305 35.21
0 10; Linie: 0.3 10.066
0 87; Linie: 0.06 87.808
0 45; Linie: 0.216 44.883
0 22; Linie: 0.351 21.448
0 27; Linie: 0.046 26.586
0 9; Linie: 0.056 8.511
0 66; Linie: 0.042 66.539
0 84; Linie: 0.073 83.881
0 65; Linie: 0.301 64.841
0 20; Linie: 0.21 20.085
0 99; Linie: 0.244 99.378
0 22; Linie: 0.254 21.589
0 35; Linie: 0.305 35.21
0 30; Linie: 0.042 30.128
0 12; Linie: 0.245 12.063
0 33; Linie: 0.083 32.445
0 52; Linie: 0.314 52.233
0 98; Linie: 0.167 97.768
0 58; Linie: 0.126 58.707
0 62; Linie: 0.085 62.475
0 88; Linie: 0.094 88.226
0 12; Linie: 0.245 12.063
0 4; Linie: 0.01 3.472
0 23; Linie: 0.244 23.106
0 62; Linie: 0.39 62.343
0 62; Linie: 0.39 62.343
0 87; Linie: 0.379 87.496
0 62; Linie: 0.39 62.343
0 45; Linie: 0.308 44.99
0 62; Linie: 0.39 62.343
0 98; Linie: 0.251 97.566
0 62; Linie: 0.39 62.343
0 62; Linie: 0.105 61.92
0 12; Linie: 0.267 12.136
0 12; Linie: 0.408 12.359
0 12; Linie: 0.398 12.164
0 5; Linie: 0.321 4.77
0 12; Linie: 0.398 12.164
0 87; Linie: 0.402 86.789
0 12; Linie: 0.245 12.063
0 58; Linie: 0.14 58.262
0 67; Linie: 0.23 67.284
0 12; Linie: 0.417 12.42
0 87; Linie: 0.13 87.724
0 93; Linie: 0.32 93.099
0 61; Linie: 0.1 60.95
0 13; Linie: 0.048 13.295
0 35; Linie: 0.268 35.477
0 27; Linie: 0.241 26.416
0 67; Linie: 0.376 67.203
0 1; Linie: 0.294 0.511
0 84; Linie: 0.402 83.678
0 10; Linie: 0.332 10.185
0 34; Linie: 0.335 34.246
0 73; Linie: 0.182 73.33
0 62; Linie: 0.139 61.984
0 12; Linie: 0.128 12.288
0 12; Linie: 0.408 12.359
0 1; Linie: 0.294 0.511
0 1; Linie: 0.43 0.394
0 62; Linie: 0.105 61.92
0 12; Linie: 0.267 12.136
0 47; Linie: 0.193 46.942
0 34; Linie: 0.244 34.428
0 43; Linie: 0.32 42.871
0 2; Linie: 0.447 2.248
0 45; Linie: 0.455 44.918
0 25; Linie: 0.416 24.516
0 87; Linie: 0.379 87.496
0 12; Linie: 0.267 12.136
0 30; Linie: 0.437 29.612
0 93; Linie: 0.47 93.131
0 93; Linie: 0.107 92.954
0 62; Linie: 0.47 62.058
0 95; Linie: 0.421 95.456
0 10; Linie: 0.42 9.626
0 2; Linie: 0.447 2.248
0 38; Linie: 0.446 37.778
0 73; Linie: 0.182 73.33
0 1; Linie: 0.43 0.394
0 93; Linie: 0.091 93.335
0 40; Linie: 0.227 40.059
0 25; Linie: 0.217 25.479
0 50; Linie: 0.43 50.42
0 36; Linie: 0.46 36.083
0 62; Linie: 0.139 61.984
0 30; Linie: 0.27 29.737
0 3; Linie: 0.247 2.627
1 93; Linie: 0.47 93.131
1 22; Linie: 0.462 21.703
1 22; Linie: 0.116 22.43
1 58; Linie: 0.505 58.425
1 59; Linie: 0.216 58.598
1 37; Linie: 0.306 37.166
1 85; Linie: 0.456 84.873
1 35; Linie: 0.268 35.477
1 8; Linie: 0.474 8.133
1 12; Linie: 0.267 12.136
1 88; Linie: 0.094 88.226
1 13; Linie: 0.245 12.063
