0 14; Linie: 0.063 14.325
0 65; Linie: 0.064 65.023
0 94; Linie: 0.088 93.662
0 62; Linie: 0.085 62.475
0 72; Linie: 0.073 72.111
0 81; Linie: 0.106 81.283
0 87; Linie: 0.11 87.535
0 32; Linie: 0.1 31.954
0 88; Linie: 0.13 87.724
0 95; Linie: 0.15 95.088
0 93; Linie: 0.088 93.662
0 30; Linie: 0.055 30.044
0 60; Linie: 0.165 59.644
0 44; Linie: 0.154 43.974
0 2; Linie: 0.092 2.129
0 94; Linie: 0.196 94.494
0 62; Linie: 0.203 62.501
0 60; Linie: 0.116 59.905
0 86; Linie: 0.105 85.765
0 81; Linie: 0.104 81.311
0 11; Linie: 0.126 10.853
0 26; Linie: 0.119 25.697
0 59; Linie: 0.216 58.598
0 36; Linie: 0.193 35.767
0 34; Linie: 0.205 33.62
0 45; Linie: 0.216 44.883
0 93; Linie: 0.206 93.045
0 60; Linie: 0.165 59.644
0 96; Linie: 0.166 96.101
0 20; Linie: 0.21 20.085
0 73; Linie: 0.211 73.103
0 76; Linie: 0.238 76.828
0 22; Linie: 0.246 22.347
0 96; Linie: 0.166 96.101
0 88; Linie: 0.06 87.808
0 3; Linie: 0.176 3.237
0 62; Linie: 0.139 61.984
0 78; Linie: 0.266 78.496
0 1; Linie: 0.243 1.361
0 70; Linie: 0.26 70.344
0 34; Linie: 0.22 33.72
0 98; Linie: 0.28 98.295
0 55; Linie: 0.279 55.26
0 60; Linie: 0.17 59.725
0 88; Linie: 0.13 87.724
0 12; Linie: 0.267 12.136
0 98; Linie: 0.28 98.295
0 74; Linie: 0.065 73.698
0 35; Linie: 0.305 35.21
0 42; Linie: 0.272 41.874
0 45; Linie: 0.307 44.675
0 1; Linie: 0.149 1.379
0 55; Linie: 0.279 55.26
0 98; Linie: 0.28 98.295
0 22; Linie: 0.327 21.824
0 85; Linie: 0.259 84.772
0 23; Linie: 0.246 22.347
0 23; Linie: 0.246 22.347
0 21; Linie: 0.304 20.751
0 95; Linie: 0.166 96.101
0 22; Linie: 0.334 22.252
0 10; Linie: 0.038 9.819
0 67; Linie: 0.23 67.284
0 35; Linie: 0.305 35.21
0 10; Linie: 0.345 10.105
0 87; Linie: 0.283 87.496
0 45; Linie: 0.34 44.764
0 22; Linie: 0.351 21.448
0 27; Linie: 0.241 26.416
0 9; Linie: 0.333 8.534
0 66; Linie: 0.246 66.326
0 84; Linie: 0.164 84.239
0 65; Linie: 0.301 64.841
0 20; Linie: 0.21 20.085
0 99; Linie: 0.244 99.378
0 22; Linie: 0.254 21.589
0 35; Linie: 0.305 35.21
0 30; Linie: 0.366 30.374
0 12; Linie: 0.245 12.063
0 33; Linie: 0.182 32.56
0 33; Linie: 0.083 32.445
0 52; Linie: 0.314 52.233
0 98; Linie: 0.28 98.295
0 58; Linie: 0.254 58.373
0 62; Linie: 0.343 62.284
0 88; Linie: 0.384 87.882
0 12; Linie: 0.128 12.288
0 12; Linie: 0.245 12.063
0 4; Linie: 0.176 3.237
0 23; Linie: 0.335 23.108
0 62; Linie: 0.39 62.343
0 62; Linie: 0.39 62.343
0 87; Linie: 0.379 87.496
0 62; Linie: 0.39 62.343
0 45; Linie: 0.355 44.954
0 62; Linie: 0.39 62.343
0 98; Linie: 0.28 98.295
0 62; Linie: 0.39 62.343
0 62; Linie: 0.285 62.261
0 12; Linie: 0.398 12.164
0 12; Linie: 0.398 12.164
0 12; Linie: 0.398 12.164
0 5; Linie: 0.321 4.77
0 12; Linie: 0.398 12.164
0 87; Linie: 0.402 86.789
0 12; Linie: 0.398 12.164
0 58; Linie: 0.14 58.262
0 67; Linie: 0.23 67.284
0 12; Linie: 0.417 12.42
0 87; Linie: 0.283 87.496
0 93; Linie: 0.32 93.099
0 93; Linie: 0.206 93.045
0 61; Linie: 0.21 60.865
0 13; Linie: 0.209 13.251
0 35; Linie: 0.306 35.29
0 27; Linie: 0.241 26.416
0 67; Linie: 0.376 67.203
0 1; Linie: 0.294 0.511
0 84; Linie: 0.402 83.678
